source,term_id,term_name,fdr,significant,intersection_size,query_size,term_size,background_size,genes,gene_symbols
GO:BP,GO:1902905,positive regulation of supramolecular fiber organization,0.27294949655327505,False,3,86,16,1708,ENSG00000163171 ENSG00000151422 ENSG00000079691,CDC42EP3 FER CARMIL1
GO:BP,GO:1902904,negative regulation of supramolecular fiber organization,0.27294949655327505,False,4,86,21,1708,ENSG00000242498 ENSG00000163635 ENSG00000079691 ENSG00000158106,ARPIN ATXN7 CARMIL1 RHPN1
GO:BP,GO:0060425,lung morphogenesis,0.27294949655327505,False,2,86,7,1708,ENSG00000103811 ENSG00000196182,CTSH STK40
GO:BP,GO:0051783,regulation of nuclear division,0.27294949655327505,False,4,86,17,1708,ENSG00000089053 ENSG00000103056 ENSG00000112659 ENSG00000002822,ANAPC5 SMPD3 CUL9 MAD1L1
GO:BP,GO:0002337,B-1a B cell differentiation,0.27294949655327505,False,1,86,1,1708,ENSG00000154822,PLCL2
GO:BP,GO:1902743,regulation of lamellipodium organization,0.27294949655327505,False,3,86,5,1708,ENSG00000242498 ENSG00000151422 ENSG00000079691,ARPIN FER CARMIL1
GO:BP,GO:0061572,actin filament bundle organization,0.27294949655327505,False,3,86,13,1708,ENSG00000204991 ENSG00000079691 ENSG00000158106,SPIRE2 CARMIL1 RHPN1
GO:BP,GO:0061448,connective tissue development,0.27294949655327505,False,4,86,26,1708,ENSG00000120451 ENSG00000171310 ENSG00000103056 ENSG00000130635,SNX19 CHST11 SMPD3 COL5A1
GO:BP,GO:0065008,regulation of biological quality,0.27294949655327505,False,20,86,228,1708,ENSG00000156395 ENSG00000120451 ENSG00000149131 ENSG00000122986 ENSG00000103811 ENSG00000103056 ENSG00000166573 ENSG00000023902 ENSG00000162753 ENSG00000053438 ENSG00000100354 ENSG00000163171 ENSG00000007402 ENSG00000150630 ENSG00000151422 ENSG00000010810 ENSG00000079691 ENSG00000137411 ENSG00000135298 ENSG00000176406,SORCS3 SNX19 SERPING1 HVCN1 CTSH SMPD3 GALR1 PLEKHO1 SLC9C2 NNAT TNRC6B CDC42EP3 CACNA2D2 VEGFC FER FYN CARMIL1 VARS2 ADGRB3 RIMS2
GO:BP,GO:0065007,biological regulation,0.27294949655327505,False,62,86,1056,1708,ENSG00000156395 ENSG00000067082 ENSG00000120451 ENSG00000110497 ENSG00000149131 ENSG00000171310 ENSG00000122986 ENSG00000089053 ENSG00000168778 ENSG00000161813 ENSG00000072657 ENSG00000151778 ENSG00000182732 ENSG00000157456 ENSG00000103811 ENSG00000242498 ENSG00000149927 ENSG00000103056 ENSG00000204991 ENSG00000070366 ENSG00000108309 ENSG00000166573 ENSG00000205517 ENSG00000104885 ENSG00000186020 ENSG00000023902 ENSG00000143614 ENSG00000162753 ENSG00000159023 ENSG00000196182 ENSG00000142599 ENSG00000053438 ENSG00000100354 ENSG00000100403 ENSG00000082153 ENSG00000158019 ENSG00000163171 ENSG00000124356 ENSG00000174579 ENSG00000154822 ENSG00000007402 ENSG00000163635 ENSG00000150630 ENSG00000185619 ENSG00000151422 ENSG00000113070 ENSG00000010810 ENSG00000079691 ENSG00000124557 ENSG00000096654 ENSG00000232040 ENSG00000137411 ENSG00000213654 ENSG00000112659 ENSG00000135298 ENSG00000005483 ENSG00000131558 ENSG00000002822 ENSG00000176406 ENSG00000158106 ENSG00000147799 ENSG00000130635,SORCS3 KLF6 SNX19 AMBRA1 SERPING1 CHST11 HVCN1 ANAPC5 TCTN2 LARP4 TRHDE SERP2 RGS6 CCNB2 CTSH ARPIN DOC2A SMPD3 SPIRE2 SMG6 RUNDC3A GALR1 RGL3 DOT1L ZNF529 PLEKHO1 GATAD2B SLC9C2 EPB41 STK40 RERE NNAT TNRC6B ZC3H7B BZW1 BABAM2 CDC42EP3 STAMBP MSL2 PLCL2 CACNA2D2 ATXN7 VEGFC PCGF3 FER HBEGF FYN CARMIL1 BTN1A1 ZNF184 SCAND3 VARS2 GPSM3 CUL9 ADGRB3 KMT2E EXOC4 MAD1L1 RIMS2 RHPN1 ARHGAP39 COL5A1
GO:BP,GO:0061792,secretory granule maturation,0.27294949655327505,False,1,86,1,1708,ENSG00000120451,SNX19
GO:BP,GO:0061743,motor learning,0.27294949655327505,False,1,86,1,1708,ENSG00000135298,ADGRB3
GO:BP,GO:0060448,dichotomous subdivision of terminal units involved in lung branching,0.27294949655327505,False,1,86,1,1708,ENSG00000103811,CTSH
GO:BP,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,0.27294949655327505,False,2,86,5,1708,ENSG00000089053 ENSG00000002822,ANAPC5 MAD1L1
GO:BP,GO:0043954,cellular component maintenance,0.27294949655327505,False,3,86,9,1708,ENSG00000010810 ENSG00000135298 ENSG00000176406,FYN ADGRB3 RIMS2
GO:BP,GO:0051785,positive regulation of nuclear division,0.27294949655327505,False,3,86,8,1708,ENSG00000089053 ENSG00000103056 ENSG00000002822,ANAPC5 SMPD3 MAD1L1
GO:BP,GO:0006249,dCMP catabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0006248,CMP catabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0006214,thymidine catabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0006213,pyrimidine nucleoside metabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0006212,uracil catabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0006210,thymine catabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0006208,pyrimidine nucleobase catabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.27294949655327505,False,5,86,27,1708,ENSG00000110497 ENSG00000103056 ENSG00000124356 ENSG00000151422 ENSG00000113070,AMBRA1 SMPD3 STAMBP FER HBEGF
GO:BP,GO:0046121,deoxyribonucleoside catabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0046903,secretion,0.27294949655327505,False,8,86,73,1708,ENSG00000120451 ENSG00000149927 ENSG00000103056 ENSG00000166573 ENSG00000053438 ENSG00000150630 ENSG00000131558 ENSG00000176406,SNX19 DOC2A SMPD3 GALR1 NNAT VEGFC EXOC4 RIMS2
GO:BP,GO:0031509,subtelomeric heterochromatin formation,0.27294949655327505,False,1,86,1,1708,ENSG00000104885,DOT1L
GO:BP,GO:0032231,regulation of actin filament bundle assembly,0.27294949655327505,False,2,86,7,1708,ENSG00000079691 ENSG00000158106,CARMIL1 RHPN1
GO:BP,GO:0031334,positive regulation of protein-containing complex assembly,0.27294949655327505,False,4,86,25,1708,ENSG00000110497 ENSG00000163171 ENSG00000151422 ENSG00000079691,AMBRA1 CDC42EP3 FER CARMIL1
GO:BP,GO:0048278,vesicle docking,0.27294949655327505,False,2,86,4,1708,ENSG00000131558 ENSG00000176406,EXOC4 RIMS2
